<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<CLAVRG>,,,,,,,
SBERP,D,20100824,0,55.13,55.26,53.9,54.18,33824689,0.491731395,,,,,,,
SBERP,D,20100825,0,54.11,54.83,52.92,53.29,33512885,0.483653859,,,,,,,
SBERP,D,20100826,0,53.97,55.2,53.76,54.99,39568820,0.499082862,,,,,,,
SBERP,D,20100827,0,54.59,55.41,54.17,55.22,30602170,0.501170315,,,,,,,
SBERP,D,20100830,0,55.93,55.99,55.16,55.44,22516258,0.503167009,,,,,,,
SBERP,D,20100831,0,54.5,55.94,54.25,55.87,30313685,0.507069639,,,,,,,
SBERP,D,20100901,0,56.02,57.33,55.3,57.24,47979874,0.519503601,,,,,,,
SBERP,D,20100902,0,57.3,58.39,56.87,57.7,54866793,0.523678507,,,,,,,
SBERP,D,20100903,0,57.84,58.68,57.3,58.1,33667225,0.527308861,,,,,,,
SBERP,D,20100906,0,58.42,58.5,57.92,58.1,14394273,0.527308861,,,,,,,
SBERP,D,20100907,0,57.79,57.83,56.9,57.15,23110839,0.518686771,,,,,,,
SBERP,D,20100908,0,56.79,59.63,56.6,59.46,73005338,0.539652063,,,,,,,
SBERP,D,20100909,0,59.3,61.64,59.22,60.5,86750650,0.549090982,,,,,,,
SBERP,D,20100910,0,60.21,61.14,59.82,60.2,39252051,0.546368217,,,,,,,
SBERP,D,20100913,0,61.2,62,60.72,60.91,38711372,0.552812095,,,,,,,
SBERP,D,20100914,0,60.6,61.42,59.82,60.3,51285829,0.547275806,,,,,,,
SBERP,D,20100915,0,60.31,60.67,59.35,60.05,29254672,0.545006835,,,,,,,
SBERP,D,20100916,0,59.78,60.26,59.35,59.45,19767998,0.539561304,,,,,,,
SBERP,D,20100917,0,60.01,60.2,58.82,58.94,25570165,0.534932603,,,,,,,
SBERP,D,20100920,0,59.15,59.76,58.71,59.65,20153038,0.541376481,,,,,,,
SBERP,D,20100921,0,59.8,60.31,59.4,59.9,22758957,0.543645452,,,,,,,
SBERP,D,20100922,0,59.85,59.95,59.02,59.19,20948083,0.537201574,,,,,,,
SBERP,D,20100923,0,59.44,59.83,58.53,59.4,25046185,0.53910751,,,,,,,
SBERP,D,20100924,0,59.17,61.33,58.97,61.2,48806875,0.555444101,,,,,,,
SBERP,D,20100927,0,61.58,61.72,60.07,60.25,27558566,0.546822011,,,,,,,
SBERP,D,20100928,0,59.99,60.45,59.21,59.8,29019947,0.542737864,,,,,,,
SBERP,D,20100929,0,60.06,60.65,59.7,60.23,24096548,0.546640494,,,,,,,
SBERP,D,20100930,0,59.98,61.25,59.72,61.11,27797073,0.554627272,,,,,,,
SBERP,D,20101001,0,61,63.04,60.8,62,62316009,0.562704808,,,,,,,
SBERP,D,20101004,0,62.45,63.55,62.1,62.52,55447776,0.567424268,,,,,,,
SBERP,D,20101005,0,62.5,63.67,62.18,63.63,53189466,0.577498499,,,,,,,
SBERP,D,20101006,0,64.07,64.87,63.22,63.3,56642423,0.574503458,,,,,,,
SBERP,D,20101007,0,63.55,64.04,63.01,63.25,41140226,0.574049663,,,,,,,
SBERP,D,20101008,0,63.14,63.65,62.33,63.34,45842282,0.574866493,,,,,,,
SBERP,D,20101011,0,63.66,63.95,63.48,63.8,16002100,0.5790414,,,,,,,
SBERP,D,20101012,0,63.17,64.19,62.79,64.15,36369432,0.582217959,,,,,,,
SBERP,D,20101013,0,64.51,65.97,64.36,65.55,73189146,0.594924197,,,,,,,
SBERP,D,20101014,0,66.05,66.25,64.8,65.31,45305990,0.592745984,,,,,,,
SBERP,D,20101015,0,65.2,66.12,65.11,65.52,37721517,0.59465192,,,,,,,
SBERP,D,20101018,0,65,66.99,64.92,66.89,48745496,0.607085881,,,,,,,
